airline,overall,author,review_date,customer_review,aircraft,traveller_type,cabin,route,date_flown,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended,cleaned_review
Turkish Airlines,1.0,D Marler,7th April 2018,"âœ… Trip Verified | Bangkok to Berlin via Istanbul. Even I had an exit row seat the comfort of the seat itself was really bad. The headrest was not adjustable and my entertainment system was broken, so I had to hold my screen. No compensation like free WiFi was offered, so I could not use my tablet for entertainment. They had a menu to choose from lamb and beef but there was only beef available when they arrived at my row. Compared to other airlines the staff also hasn't been friendly, so I would not recommend this airline.",,Solo Leisure,Economy Class,Bangkok to Berlin via Istanbul,April 2018,1.0,2.0,1.0,1.0,3.0,1.0,no,bangkok to berlin via istanbul even i had an exit row seat the comfort of the seat itself was really bad the headrest was not adjustable and my entertainment system was broken so i had to hold my screen no compensation like free wifi was offered so i could not use my tablet for entertainment they had a menu to choose from lamb and beef but there was only beef available when they arrived at my row compared to other airlines the staff also hasnt been friendly so i would not recommend this airline
Turkish Airlines,1.0,Mohammed Alsuhaibani,4th April 2018,âœ… Trip Verified | Riyadh to Istanbul. They rescheduled my flight with the short notice and I had to stay at the airport for four hours waiting for my flight and I had to pay extra money. On top of that I arrived four hours later then my expected arrival where I had to take a taxi instead of my brother picking me up. In the airplane I wanted to charge my phone but there was no outlet nor USB port.,,Solo Leisure,Economy Class,Riyadh to Istanbul,April 2018,2.0,2.0,1.0,3.0,1.0,1.0,no,riyadh to istanbul they rescheduled my flight with the short notice and i had to stay at the airport for four hours waiting for my flight and i had to pay extra money on top of that i arrived four hours later then my expected arrival where i had to take a taxi instead of my brother picking me up in the airplane i wanted to charge my phone but there was no outlet nor usb port
Turkish Airlines,3.0,K Andrews,4th April 2018,"âœ… Trip Verified | Pretty bad. The food was served by a man wearing a chef's hat, but it was burnt and tasteless. Ironically, this was the first and only time I have been served burnt food on a plane. The server was pompous, and rude to his female colleagues who were helping him serve the food. Another male air hostess was consistently rude to female staff members, and to my wife. On several occasions he asked me (a man sitting in a middle seat) if I wanted a drink, but ignored my wife who was sitting next to me on an aisle seat. In fact, I had to call him back to ask for water for her. I was looking forward to travelling with ""Europe's Favourite Airline"", and was very disappointed with the service. I will do my best to avoid travelling with Turkish Airlines in the future.",,Couple Leisure,Economy Class,Shanghai to Paris CDG via Istanbul,2017-05-01 00:00:00,3.0,1.0,2.0,3.0,2.0,2.0,no,pretty bad the food was served by a man wearing a chefs hat but it was burnt and tasteless ironically this was the first and only time i have been served burnt food on a plane the server was pompous and rude to his female colleagues who were helping him serve the food another male air hostess was consistently rude to female staff members and to my wife on several occasions he asked me a man sitting in a middle seat if i wanted a drink but ignored my wife who was sitting next to me on an aisle seat in fact i had to call him back to ask for water for her i was looking forward to travelling with europes favourite airline and was very disappointed with the service i will do my best to avoid travelling with turkish airlines in the future
Turkish Airlines,1.0,Anita Bingeman,3rd April 2018,"âœ… Trip Verified | Gatwick to Antananarivo via Istanbul. Never again. The food was disgraceful on the outward flight. I was bumped from my seat, despite having pre booked it 5 months previously. On arrival my suitcase had one wheel missing, only the lining prevented the contents from spilling out. I obtained a damage report and tried to visit the Turkish Airlines office in the airport twice during my stay. Never open. Before boarding for the return flight I tried to get the airline to at least cover my suitcase with a plastic wrapping. They were beyond insolent. On arrival at Gatwick the other wheel was missing. I went to the Turkish Office and they said a new case would be delivered to my home address in a week. Over 2 weeks and still no sign. Instead multiple emails requesting I fill out forms I have given all the evidence requested. Still no compensation, prevarication all the time emails that one canâ€™t reply to. Turkish Airlines have ruined my case, it is irreparable.",,Solo Leisure,Economy Class,Gatwick to Antananarivo via Istanbul,March 2018,1.0,1.0,1.0,3.0,1.0,1.0,no,gatwick to antananarivo via istanbul never again the food was disgraceful on the outward flight i was bumped from my seat despite having pre booked it months previously on arrival my suitcase had one wheel missing only the lining prevented the contents from spilling out i obtained a damage report and tried to visit the turkish airlines office in the airport twice during my stay never open before boarding for the return flight i tried to get the airline to at least cover my suitcase with a plastic wrapping they were beyond insolent on arrival at gatwick the other wheel was missing i went to the turkish office and they said a new case would be delivered to my home address in a week over weeks and still no sign instead multiple emails requesting i fill out forms i have given all the evidence requested still no compensation prevarication all the time emails that one cant reply to turkish airlines have ruined my case it is irreparable
Turkish Airlines,1.0,P Hamoulady,1st April 2018,"âœ… Trip Verified | Boston to Tehran via Istanbul. I had one of my worst experience (if not the worst) with Turkish Airlines. I would be a couple pages if I write exactly how many mistakes their agents made and how I got ripped off because of their mistakes! When I first checked in my bag the agent couldn't find my second flight so didn't issue me the boarding pass for that flight and told me I should get boarding pass when I arrive in Istanbul. She first said I should claim my bag in Istanbul and then changed it and said I should claim it in my final destination. In Istanbul, I was told by an agent to wait in a line for boarding pass and when I reached front desk the person there said she couldn't find my ticket! Again, after I showed my online booking she said that because my flight is from the other airport I should go there and get my boarding pass! I then rushed to the other airport which is around 1-2 hours drive far (because I waited around 3 hours in that line to get my boarding pass!!) only to find out that my bag was left at the previous airport that I arrived! So I missed my flight, had to pay to reschedule fee, and had to go back to the previous airport to claim my bag. I told them that I don't want to reschedule with them and she said if I don't I basically forfeit my return flight! So, I had to pay a fee that was about 10 times higher than a single other flight that I could book at the same time with another airline! Back in the first airline, also I had so hard time to find my bag! Noone at this airlines knows what they are doing apparently. It's totally crazy. When I claimed my bag it was obvious that they made a mistake. They ripped off a part of it and wrote the destination by hand (took pictures of that as well to file a complaint). Not to mention that I got ripped off also by the airport taxi for 20 times of what I should have paid them (as I was in a hurry and didn't know the exchange rate and wanted not to miss my other flight although I had already missed it as my bag was not there). This is one of the worst and incompetent airlines that I traveled with. The only scenario that I can think of that you will have a pleasant flight is if nothing and absolutely nothing wrong or just a bit uncommon happens. Nobody knows what they are doing and it's surprising. Even when I wanted to find my bag at the previous airport when I went there, I talked to at least 5 Turkish Airlines agent about it and everyone was sending me to a different direction and was saying a different thing. My experience couldn't be worse.",,Solo Leisure,Economy Class,Boston to Tehran via Istanbul,March 2018,2.0,3.0,2.0,3.0,2.0,1.0,no,boston to tehran via istanbul i had one of my worst experience if not the worst with turkish airlines i would be a couple pages if i write exactly how many mistakes their agents made and how i got ripped off because of their mistakes! when i first checked in my bag the agent couldnt find my second flight so didnt issue me the boarding pass for that flight and told me i should get boarding pass when i arrive in istanbul she first said i should claim my bag in istanbul and then changed it and said i should claim it in my final destination in istanbul i was told by an agent to wait in a line for boarding pass and when i reached front desk the person there said she couldnt find my ticket! again after i showed my online booking she said that because my flight is from the other airport i should go there and get my boarding pass! i then rushed to the other airport which is around - hours drive far because i waited around hours in that line to get my boarding pass!! only to find out that my bag was left at the previous airport that i arrived! so i missed my flight had to pay to reschedule fee and had to go back to the previous airport to claim my bag i told them that i dont want to reschedule with them and she said if i dont i basically forfeit my return flight! so i had to pay a fee that was about times higher than a single other flight that i could book at the same time with another airline! back in the first airline also i had so hard time to find my bag! noone at this airlines knows what they are doing apparently its totally crazy when i claimed my bag it was obvious that they made a mistake they ripped off a part of it and wrote the destination by hand took pictures of that as well to file a complaint not to mention that i got ripped off also by the airport taxi for times of what i should have paid them as i was in a hurry and didnt know the exchange rate and wanted not to miss my other flight although i had already missed it as my bag was not there this is one of the worst and incompetent airlines that i traveled with the only scenario that i can think of that you will have a pleasant flight is if nothing and absolutely nothing wrong or just a bit uncommon happens nobody knows what they are doing and its surprising even when i wanted to find my bag at the previous airport when i went there i talked to at least turkish airlines agent about it and everyone was sending me to a different direction and was saying a different thing my experience couldnt be worse
Turkish Airlines,2.0,Mohamed Bayoumi,30th March 2018,"âœ… Trip Verified | Booked to fly Turkish Airlines from Madrid to Alexandria via Istanbul. Worst flight service of my past 5 years. I chose this flight specifically due to its catchy price and most importantly short transit time as I have a family with 1 year old son. Flight from Madrid was delayed by 5 hours (flew 11.30 pm instead of 6.15 pm) since it was not possible to catch my connection flight they booked me the next trip 12.55 pm (an extra night and almost 9 hours transit time). Arrived into Istanbul and my baby was extremely tired, asked Turkish information desk for a place to spend the night but a rude employee told me go to the public restrooms. They were extremely uncomfortable so I went back and asked again, this time they gave me 5 hours lounge stay where again it was impossible to sleep. Overall a horrible nightmare experience. Rude employees who don't have any ideas on how to satisfy a customer.",A330,Family Leisure,Economy Class,Madrid to Alexandria via Istanbul,March 2018,2.0,2.0,3.0,3.0,1.0,3.0,no,booked to fly turkish airlines from madrid to alexandria via istanbul worst flight service of my past years i chose this flight specifically due to its catchy price and most importantly short transit time as i have a family with year old son flight from madrid was delayed by hours flew pm instead of pm since it was not possible to catch my connection flight they booked me the next trip pm an extra night and almost hours transit time arrived into istanbul and my baby was extremely tired asked turkish information desk for a place to spend the night but a rude employee told me go to the public restrooms they were extremely uncomfortable so i went back and asked again this time they gave me hours lounge stay where again it was impossible to sleep overall a horrible nightmare experience rude employees who dont have any ideas on how to satisfy a customer
Turkish Airlines,3.0,Kurt Strack,24th March 2018,"âœ… Trip Verified | Bangkok to Houston via Istanbul. After avoiding them for a few years I decided to try them again, though if I had read the reviews here I would not have. Same experience, impressive website not quite working. I booked my ticket entering my United FF number noticing it kept adding the TK airline code. Then I saw they offered chauffeur driven service for pick up and drop off. I could only get to it after logging into my TK miles & smiles account. After lengthy email exchange I was told my one way business class ticket for > 2,000 $ was too cheap for this that is still ok but very low. I noticed my record showed my TK ff number, which I do not use as I collect bonus miles on UA. So on Checking in BKK I verified they had my US number they confirmed and even read it back to me. In ISt I noticed my TK account has miles deposited so I emailed, no reply. : After arrival I again noticed TK had deposited the miles obviously I lost all my gold bonus.: So I called TK - what a nightmare to even find a phone number and a person. They were initial quite abrupt and unwilling to help. A few days later I blunt rejection letter there was nothing they could do My response.",Boeing 777,Business,Business Class,Bangkok to Houston via Istanbul,March 2018,4.0,5.0,3.0,4.0,1.0,2.0,no,bangkok to houston via istanbul after avoiding them for a few years i decided to try them again though if i had read the reviews here i would not have same experience impressive website not quite working i booked my ticket entering my united ff number noticing it kept adding the tk airline code then i saw they offered chauffeur driven service for pick up and drop off i could only get to it after logging into my tk miles smiles account after lengthy email exchange i was told my one way business class ticket for was too cheap for this that is still ok but very low i noticed my record showed my tk ff number which i do not use as i collect bonus miles on ua so on checking in bkk i verified they had my us number they confirmed and even read it back to me in ist i noticed my tk account has miles deposited so i emailed no reply after arrival i again noticed tk had deposited the miles obviously i lost all my gold bonus so i called tk - what a nightmare to even find a phone number and a person they were initial quite abrupt and unwilling to help a few days later i blunt rejection letter there was nothing they could do my response
Turkish Airlines,9.0,D Mealen,23rd March 2018,"âœ… Trip Verified | New York to Tel Aviv via Istanbul was on time, as were 4 segments of my itinerary. Cabin staff solicitous ,helpful and polite. Catering out of JFK was particularly good, the onboard ""chefs"" a nice touch even if they really aren't preparing much fresh food. We were seated on the side, 2 abreast, which was good as the center section of 3 across does not look appealing. The seats are relatively open, not affording much privacy, but the amount of storage is more than very sufficient, and the seat comfort when in the flat position, including the ""bedpad"", comforter and pillow more than adequate. The lounge in Istanbul was quite good, being on two levels with many interesting and well prepared food stations. We were also given two private sleeping rooms in the lounge for our 5 hour transit, a very nice touch. All in all, Turkish seems to offer a solid business class product, superior to US airlines in staff attitude, on time performance, speed of baggage delivery and overall efficiency.",Boeing 777 / A320,Family Leisure,Business Class,New York to Tel Aviv via Istanbul,March 2018,4.0,5.0,4.0,4.0,4.0,5.0,yes,new york to tel aviv via istanbul was on time as were segments of my itinerary cabin staff solicitous helpful and polite catering out of jfk was particularly good the onboard chefs a nice touch even if they really arent preparing much fresh food we were seated on the side abreast which was good as the center section of across does not look appealing the seats are relatively open not affording much privacy but the amount of storage is more than very sufficient and the seat comfort when in the flat position including the bedpad comforter and pillow more than adequate the lounge in istanbul was quite good being on two levels with many interesting and well prepared food stations we were also given two private sleeping rooms in the lounge for our hour transit a very nice touch all in all turkish seems to offer a solid business class product superior to us airlines in staff attitude on time performance speed of baggage delivery and overall efficiency
Turkish Airlines,2.0,Sean Clarke,19th March 2018,"âœ… Trip Verified | Mauritius to Dublin via Istanbul. I have flown Turkish Airlines a few times now in business. The business seats are side by side lie flats and not the more modern individual spaces found on most long-haul airlines. So, privacy is an issue. The chef in my opinion not a professionally trained chef but more a steward. The idea is a not a bad one as it gives the impression of a more dedicated service. However, the food is quite poor, and the drinks offered not a large selection. The staff were all very pleasant to me. Arriving at IST the business lounge, supposedly the best in the world, was closing. I arrived at 12.10 and the girl told me they were closed. I wrote to Turkish and after a large exchange of emails I gave up. They insisted it was open. I was there, it was closed!! Their website is a mess, their mobile site a disaster and their customer service appalling. They destroyed my new bag. I got the replacement quote and they offered me half. Why should they ask me to pay half towards a bag they wrecked? This has changed my attitude towards Turkish and they are not my chosen airline any longer.",Boeing 777,Solo Leisure,Business Class,Mauritius to Dublin via Istanbul,January 2018,2.0,4.0,2.0,4.0,1.0,2.0,no,mauritius to dublin via istanbul i have flown turkish airlines a few times now in business the business seats are side by side lie flats and not the more modern individual spaces found on most long-haul airlines so privacy is an issue the chef in my opinion not a professionally trained chef but more a steward the idea is a not a bad one as it gives the impression of a more dedicated service however the food is quite poor and the drinks offered not a large selection the staff were all very pleasant to me arriving at ist the business lounge supposedly the best in the world was closing i arrived at and the girl told me they were closed i wrote to turkish and after a large exchange of emails i gave up they insisted it was open i was there it was closed!! their website is a mess their mobile site a disaster and their customer service appalling they destroyed my new bag i got the replacement quote and they offered me half why should they ask me to pay half towards a bag they wrecked this has changed my attitude towards turkish and they are not my chosen airline any longer
Turkish Airlines,9.0,Levent Elmasdas,17th March 2018,"âœ… Trip Verified | Flew from Izmir to Bangkok via Istanbul and return on same route. Food was excellent, service was very good. Especially male crew on both flights, they were very friendly and willing to do everything as perfect as possible. Heard them speaking with other customers with good English skills. Entertainment with lots of choice. Very comfortable seats which can be changed to a bed with one button or to different positions and I slept well on the long flights. The lounge in Istanbul is amazing and also The Eva Air lounge in Bangkok that Turkish Airlines passengers can use was very classy. I enjoyed eating in both of them. Overall I can recommend Turkish Airlines Business class. It was a pleasure. The only small minus was on the Turkey legs I didn't feel acknowledged during boarding being a business class passenger.",Boeing 777/300,Business,Business Class,Izmir to Bangkok via Istanbul,March 2018,5.0,4.0,5.0,5.0,4.0,5.0,yes,flew from izmir to bangkok via istanbul and return on same route food was excellent service was very good especially male crew on both flights they were very friendly and willing to do everything as perfect as possible heard them speaking with other customers with good english skills entertainment with lots of choice very comfortable seats which can be changed to a bed with one button or to different positions and i slept well on the long flights the lounge in istanbul is amazing and also the eva air lounge in bangkok that turkish airlines passengers can use was very classy i enjoyed eating in both of them overall i can recommend turkish airlines business class it was a pleasure the only small minus was on the turkey legs i didnt feel acknowledged during boarding being a business class passenger
Turkish Airlines,8.0,D Garven,17th March 2018,"âœ… Trip Verified | Berlin to Kuala Lumpur via Istanbul. Check in at TXL was smooth. We were bussed to a A330 for the first leg to IST. The IFE screens were not working for half of the seats in the main cabin. Also not during the safety instructions and I was shocked to see that the cabin crew did not ensure passengers were given a demonstration instead or checked if seat belts were fastened and specific rows were cleared of hand luggage. The crew could also learn a bit more English and be a bit friendlier overall. IST-KUL was on a Boeing 777 and certainly more comfortable. The crew was more present, is TK a hit or miss? The IFE is great (when it works) and they certainly serve excellent food! IST is a nightmare but that's another review.",A330 / Boeing 777,Couple Leisure,Economy Class,Berlin to Kuala Lumpur via Istanbul,February 2018,3.0,3.0,5.0,5.0,5.0,3.0,yes,berlin to kuala lumpur via istanbul check in at txl was smooth we were bussed to a a for the first leg to ist the ife screens were not working for half of the seats in the main cabin also not during the safety instructions and i was shocked to see that the cabin crew did not ensure passengers were given a demonstration instead or checked if seat belts were fastened and specific rows were cleared of hand luggage the crew could also learn a bit more english and be a bit friendlier overall ist-kul was on a boeing and certainly more comfortable the crew was more present is tk a hit or miss the ife is great when it works and they certainly serve excellent food! ist is a nightmare but thats another review
Turkish Airlines,5.0,Gertrude Monteiro,15th March 2018,"âœ… Trip Verified | Mumbai to Houston via Istanbul. My bag was misplaced/lost by Turkish Airlines and it took more than one month to get my bag. The airline was not even interested in contacting me or updating me. I repeatedly explained to them that more than anything else, my important medications which I needed to take on a daily basis were in the bag. Fortunately, some of the medications, which my husband had in his possession, were couriered to me from New York. To cut a long story short, finally after my bag reached its destination, instead of the airline delivering the bag, I had to collect it from La Guardia airport. Turkish Airlines boasts of being the best airline in Europe but I do not agree to this. I am sure there are more passengers who must have faced similar problems that I went through.",,Solo Leisure,Economy Class,Mumbai to Houston via Istanbul,February 2018,5.0,5.0,5.0,5.0,5.0,1.0,no,mumbai to houston via istanbul my bag was misplacedlost by turkish airlines and it took more than one month to get my bag the airline was not even interested in contacting me or updating me i repeatedly explained to them that more than anything else my important medications which i needed to take on a daily basis were in the bag fortunately some of the medications which my husband had in his possession were couriered to me from new york to cut a long story short finally after my bag reached its destination instead of the airline delivering the bag i had to collect it from la guardia airport turkish airlines boasts of being the best airline in europe but i do not agree to this i am sure there are more passengers who must have faced similar problems that i went through
Turkish Airlines,1.0,Mamdouh Badawi,13th March 2018,"âœ… Trip Verified | Don't be fooled by good food and new aircraft. Only when you face a problem you can see the quality of services. And I (Business class traveller and Elite Gold member) have a very long list of stories of very poor services. 1) 8 days today and I am without my only checked in bag during my flight to Houston and Turkish Airlines simply not doing anything except sending a message every few days saying they are investigating. I have no clothes for 8 days and Turkish Airlines are refusing even to compensate me for the lost bag. 2) When we changed our travel date due to a medical emergency supported by a letter from the hospital, Turkish Airlines charged me and my wife 1200 extra dollars per ticket and refused to waive any fees due to the medical emergency like all other reputable airlines. 3) On a number of occasions I missed my connections due to late arrival to Istanbul (on Turkish Airlines) and Turkish Airlines refused to take any resposibility for missing my meetings by flying me on a different airlines flight. This is happening to business class travellers, imagine if you fly economy. Very poor Airline.",Boeing 777-300,Business,Business Class,Bucharest to Houston via Istanbul,March 2018,2.0,3.0,4.0,3.0,1.0,1.0,no,dont be fooled by good food and new aircraft only when you face a problem you can see the quality of services and i business class traveller and elite gold member have a very long list of stories of very poor services days today and i am without my only checked in bag during my flight to houston and turkish airlines simply not doing anything except sending a message every few days saying they are investigating i have no clothes for days and turkish airlines are refusing even to compensate me for the lost bag when we changed our travel date due to a medical emergency supported by a letter from the hospital turkish airlines charged me and my wife extra dollars per ticket and refused to waive any fees due to the medical emergency like all other reputable airlines on a number of occasions i missed my connections due to late arrival to istanbul on turkish airlines and turkish airlines refused to take any resposibility for missing my meetings by flying me on a different airlines flight this is happening to business class travellers imagine if you fly economy very poor airline
Turkish Airlines,8.0,Alan Sargeant,8th March 2018,"âœ… Trip Verified | Moscow to Manila via Istanbul. Good flight from Moscow to Istanbul. Comfortable seats with reasonable recline. Flight left and landed on time. Cabin staff functioned well with announcements in Turkish, Russian and English. A good lunch was served with appropriate sized portions. IFE had a fair selection of films available. Istanbul to Manila a fair flight. Dinner was served at the beginning of the flight and chef did not present any alternatives when the main course that I wanted was not available so I slept and woke up relatively early. I had an early breakfast (this was quite adequate, although I would have liked a little more given no dinner the previous night). No further food was offered. I think that the airline would be better off allowing passengers going straight to sleep and then having breakfast and lunch as the two meals on this long flight. Overall the quality of the service from Istanbul to Manila was a little lower than previous long haul flights in business class.",,Solo Leisure,Business Class,Moscow to Manila via Istanbul,February 2018,5.0,4.0,4.0,4.0,5.0,5.0,yes,moscow to manila via istanbul good flight from moscow to istanbul comfortable seats with reasonable recline flight left and landed on time cabin staff functioned well with announcements in turkish russian and english a good lunch was served with appropriate sized portions ife had a fair selection of films available istanbul to manila a fair flight dinner was served at the beginning of the flight and chef did not present any alternatives when the main course that i wanted was not available so i slept and woke up relatively early i had an early breakfast this was quite adequate although i would have liked a little more given no dinner the previous night no further food was offered i think that the airline would be better off allowing passengers going straight to sleep and then having breakfast and lunch as the two meals on this long flight overall the quality of the service from istanbul to manila was a little lower than previous long haul flights in business class
Turkish Airlines,9.0,Alan Sargeant,8th March 2018,âœ… Trip Verified | Istanbul to Tel Aviv return. Ground staff very helpful in boarding the flight. Both flights left and arrived on time. The planes were clean and modern and the flights uneventful. The seats were comfortable and with adequate leg room and recline. Food was reasonable and the portions were satisfactory. Cabin staff were efficient and the meal was served early on both flights. On the return flight the check in worked well. I was given priority because I was transferring to Business Class for the second leg. Overall I was happy with the standard of service and the flights.,,Solo Leisure,Economy Class,Istanbul to Tel Aviv,February 2018,5.0,4.0,4.0,4.0,5.0,5.0,yes,istanbul to tel aviv return ground staff very helpful in boarding the flight both flights left and arrived on time the planes were clean and modern and the flights uneventful the seats were comfortable and with adequate leg room and recline food was reasonable and the portions were satisfactory cabin staff were efficient and the meal was served early on both flights on the return flight the check in worked well i was given priority because i was transferring to business class for the second leg overall i was happy with the standard of service and the flights
Turkish Airlines,1.0,E Lamijula,7th March 2018,"âœ… Trip Verified | Houston to Dubai via Istanbul. My nightmare started when I missed my connecting flight from Istanbul going to Dubai. I was sent from one person to another there after and subsequently had a buy a visa ($30) at the airport in other to get to their ticket counter. At the ticket counter, the guy at the booth told me I had to pay $600 penalty for missing my flight and then another $2000 for a new ticket because I bought my ticket from an agent. There was no talking to him after that as he dismissed me when I told him there was no way I could pay him $2600. With the help of a very kind gentleman at the airport, I purchased another ticket to Dubai with Air Arabia. I had to leave Ataturk airport via taxi ($60) to another airport called Sabiha to catch the flight to get to Sharjah International and then subsequently to Dubai. When I went online to check, I was told my return was valid and secured and I even called the customer service line twice and was informed that I was checked in for my return. I was able to check in online and even change my seat for the return flight. I arrived at DXB airport at 4am February 22nd morning, waited for the check in counter to open at 5:20am to check in, only to be told by the agent at the desk that I could not fly out with them. He told me that since I broke the sequence and did not pay the $2600 in Turkey, my ticket was no longer valid. He also told me that they had neither a customer service counter nor a ticket counter in Dubai so my only option was to call the same customer service that previously assured me that I was confirmed to fly back to Houston with their airline. I had to be back in Houston so I had no choice but to purchase another ticket with Emirates. I had to take a shuttle to terminal 3, bought a one way business class ticket for $5440 just to make it back to Houston. Telling a passenger to pay $2600 for missing a connection is unconscionable. The staff are rude and inhumane, Ataturk airport is chaotic and Turkish Airlines does not care about its passengers regardless of if you're flying business class or economy.",Boeing 777-300ER,Solo Leisure,Business Class,Houston to Dubai via Istanbul,February 2018,3.0,1.0,2.0,,1.0,1.0,no,houston to dubai via istanbul my nightmare started when i missed my connecting flight from istanbul going to dubai i was sent from one person to another there after and subsequently had a buy a visa at the airport in other to get to their ticket counter at the ticket counter the guy at the booth told me i had to pay penalty for missing my flight and then another for a new ticket because i bought my ticket from an agent there was no talking to him after that as he dismissed me when i told him there was no way i could pay him with the help of a very kind gentleman at the airport i purchased another ticket to dubai with air arabia i had to leave ataturk airport via taxi to another airport called sabiha to catch the flight to get to sharjah international and then subsequently to dubai when i went online to check i was told my return was valid and secured and i even called the customer service line twice and was informed that i was checked in for my return i was able to check in online and even change my seat for the return flight i arrived at dxb airport at am february nd morning waited for the check in counter to open at am to check in only to be told by the agent at the desk that i could not fly out with them he told me that since i broke the sequence and did not pay the in turkey my ticket was no longer valid he also told me that they had neither a customer service counter nor a ticket counter in dubai so my only option was to call the same customer service that previously assured me that i was confirmed to fly back to houston with their airline i had to be back in houston so i had no choice but to purchase another ticket with emirates i had to take a shuttle to terminal bought a one way business class ticket for just to make it back to houston telling a passenger to pay for missing a connection is unconscionable the staff are rude and inhumane ataturk airport is chaotic and turkish airlines does not care about its passengers regardless of if youre flying business class or economy
Turkish Airlines,1.0,E Kennedy,5th March 2018,"âœ… Trip Verified | Houston to Istanbul. Very poor staff interaction, in both the aircraft and Istanbul airport, itâ€™s quite unenjoyable to be in such hostile environment. If you want to have proper communication with the staff, you better learn Turkish. I does appear that Turkish Airlines employees are not getting paid enough to treat people with respect. I believe they used to be the best airlines in Europe, now I am confident to say they are the worst in Europe.",,Solo Leisure,Economy Class,Houston to Istanbul,March 2018,1.0,1.0,2.0,2.0,1.0,2.0,no,houston to istanbul very poor staff interaction in both the aircraft and istanbul airport its quite unenjoyable to be in such hostile environment if you want to have proper communication with the staff you better learn turkish i does appear that turkish airlines employees are not getting paid enough to treat people with respect i believe they used to be the best airlines in europe now i am confident to say they are the worst in europe
Turkish Airlines,1.0,B Vernon,4th March 2018,âœ… Trip Verified | London to Istanbul. I am a frequent flyer who always travels with excess baggage up to 10 times a year internationally. As a result of the ultra punitive charges for excess baggage on the low cost carriers like Ryanair and EasyJet I prefer to travel with the normal carriers and was very keen to try Turkish Airlines as they have a good reputation and being a gold Emirates flyer I wanted to check the experience. How sad that they have such a horrific extra baggage policy. After battling to find anything on there site after booking my ticket I presumed that I would pay per piece and saw that there looked to be an $80 price on some flights. As I had already paid and unable to navigate there confusing baggage policy on line and unable to pay on line either I made my way to the airport. My ticket cost me approx Â£120 I went with 1 extra bag weighing exactly 23kg. I know how strict airlines are about this. I was horrified to be charged approx Â£230 for my extra bag. Â£110 more than my ticket and resulted in an increase in my costs by over 200%. I could have bought 2 extra tickets. How can this be justified? I immediately realized why there extra luggage policy on there website is difficult to navigate. Extra profits. Ryanair and Easyjet get such a bad rap for these sort of charges and they are open and upfront about them. To get stung with these at the airport and have them being double the cost of a ticket is truly blackmailing your customers. I learnt my lesson and will never travel this airline. Companies that force unjustified charges on unsuspecting customers should be held to account. Why is it so much? How can one bag cost double a ticket price? Shame on them.,,Business,Economy Class,London to Istanbul,March 2018,3.0,3.0,,,1.0,1.0,no,london to istanbul i am a frequent flyer who always travels with excess baggage up to times a year internationally as a result of the ultra punitive charges for excess baggage on the low cost carriers like ryanair and easyjet i prefer to travel with the normal carriers and was very keen to try turkish airlines as they have a good reputation and being a gold emirates flyer i wanted to check the experience how sad that they have such a horrific extra baggage policy after battling to find anything on there site after booking my ticket i presumed that i would pay per piece and saw that there looked to be an price on some flights as i had already paid and unable to navigate there confusing baggage policy on line and unable to pay on line either i made my way to the airport my ticket cost me approx i went with extra bag weighing exactly kg i know how strict airlines are about this i was horrified to be charged approx for my extra bag more than my ticket and resulted in an increase in my costs by over i could have bought extra tickets how can this be justified i immediately realized why there extra luggage policy on there website is difficult to navigate extra profits ryanair and easyjet get such a bad rap for these sort of charges and they are open and upfront about them to get stung with these at the airport and have them being double the cost of a ticket is truly blackmailing your customers i learnt my lesson and will never travel this airline companies that force unjustified charges on unsuspecting customers should be held to account why is it so much how can one bag cost double a ticket price shame on them
Turkish Airlines,7.0,C Bantaro,2nd March 2018,"âœ… Trip Verified | Jakarta to Istanbul. First impression is not so good when I saw rapid seat configuration, but when Chef on Board provide me food that I choose suddenly everythingâ€™s changed. The foods are really good. I will choose this airline again for flight of more than 3 hours and less than 8 hours.",,Solo Leisure,Business Class,Jakarta to Istanbul,September 2017,3.0,4.0,5.0,3.0,4.0,4.0,yes,jakarta to istanbul first impression is not so good when i saw rapid seat configuration but when chef on board provide me food that i choose suddenly everythings changed the foods are really good i will choose this airline again for flight of more than hours and less than hours
